Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Sex_encoded,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Age_scaled,Fare_scaled
1,3,female,21.5,0,0,7.225,1,1,1,True,False,False,False,False,False,True,False,0.2648906760492586,0.029015339456179005
0,2,male,35.0,0,0,26.0,1,1,0,False,False,True,False,False,True,False,False,0.43453128926866047,0.10441506240285871
1,2,male,34.0,0,0,13.0,1,1,0,False,False,True,False,False,True,False,False,0.42196531791907516,0.052207531201429354
1,3,female,15.0,0,0,8.0292,1,1,1,False,True,False,False,True,False,False,False,0.18321186227695402,0.0322449776555782
1,1,male,28.0,0,0,35.5,1,1,0,False,False,True,False,False,True,False,False,0.3465694898215632,0.14256671981928784
0,3,female,8.0,3,1,21.075,5,0,1,False,False,True,False,True,False,False,False,0.09525006282985675,0.08463644000539412
1,3,female,38.0,1,5,31.3875,7,0,1,False,False,True,False,False,False,True,False,0.4722292033174164,0.1260510681219126
0,3,male,25.0,0,0,7.225,1,1,0,True,False,False,False,False,True,False,False,0.3088715757728072,0.029015339456179005
0,1,male,19.0,3,2,249.00622000000035,6,0,0,False,False,True,False,False,True,False,False,0.23347574767529528,1.0
1,3,female,21.5,0,0,7.8792,1,1,1,False,True,False,False,True,False,False,False,0.2648906760492586,0.03164258306479247
0,3,male,25.0,0,0,7.8958,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.031709248066172764
0,1,male,40.0,0,0,27.7208,1,1,0,True,False,False,False,False,False,False,True,0.4973611460165871,0.11132573314835252
1,1,female,35.0,1,0,146.5208,2,0,1,True,False,False,False,False,False,True,False,0.43453128926866047,0.5884222490506454
1,3,female,21.5,0,0,7.75,1,1,1,False,True,False,False,True,False,False,False,0.2648906760492586,0.031123720523929036
0,2,male,66.0,0,0,10.5,1,1,0,False,False,True,False,False,True,False,False,0.8240764011058055,0.04216762135500063
0,1,male,28.0,1,0,82.1708,2,0,0,True,False,False,False,False,True,False,False,0.3465694898215632,0.32999496960357005
0,1,male,42.0,1,0,52.0,2,0,0,False,False,True,False,False,True,False,False,0.5224930887157577,0.20883012480571742
1,3,male,25.0,0,0,7.2292,1,1,0,True,False,False,False,False,True,False,False,0.3088715757728072,0.029032206504721002
0,3,male,21.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.2586076903744659,0.03232850970550048
0,3,female,18.0,2,0,18.0,3,0,1,False,False,True,False,True,False,False,False,0.22090977632570996,0.0722873508942868
1,3,female,14.0,1,0,11.2417,2,0,1,True,False,False,False,True,False,False,False,0.17064589092736868,0.0451462618082391
0,3,female,40.0,1,0,9.475,2,0,1,False,False,True,False,False,False,True,False,0.4973611460165871,0.03805125831796485
0,2,female,27.0,1,0,21.0,2,0,1,False,False,True,False,False,False,True,False,0.33400351847197784,0.08433524271000126
0,3,male,25.0,0,0,7.8958,1,1,0,True,False,False,False,False,True,False,False,0.3088715757728072,0.031709248066172764
1,2,female,3.0,1,2,41.5792,4,0,1,True,False,False,False,True,False,False,False,0.032420206081930136,0.16698056779465165
1,3,female,19.0,0,0,7.8792,1,1,1,False,True,False,False,True,False,False,False,0.23347574767529528,0.03164258306479247
0,3,male,25.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.03232850970550048
0,3,male,25.0,1,0,15.5,2,0,0,False,True,False,False,False,True,False,False,0.3088715757728072,0.06224744104785807
1,3,female,21.5,0,0,7.75,1,1,1,False,True,False,False,True,False,False,False,0.2648906760492586,0.031123720523929036
0,3,male,25.0,2,0,21.6792,3,0,0,True,False,False,False,False,True,False,False,0.3088715757728072,0.08706288541707902
0,3,female,18.0,1,0,17.8,2,0,1,False,False,True,False,False,False,True,False,0.22090977632570996,0.0714841581065725
0,3,male,7.0,4,1,39.6875,6,0,0,False,False,True,True,False,False,False,False,0.08268409148027142,0.15938356881205595
0,3,male,21.0,0,0,7.8,1,1,0,False,False,True,False,False,True,False,False,0.2586076903744659,0.03132451872085761
1,1,female,49.0,1,0,76.7292,2,0,1,True,False,False,False,False,False,True,False,0.610454888162855,0.30814170023543946
1,2,female,29.0,1,0,26.0,2,0,1,False,False,True,False,False,False,True,False,0.35913546117114853,0.10441506240285871
0,1,male,65.0,0,1,61.9792,2,0,0,True,False,False,False,False,True,False,False,0.8115104297562201,0.24890623214151
1,1,male,40.0,0,0,35.5,1,1,0,False,False,True,False,False,True,False,False,0.4973611460165871,0.14256671981928784
1,2,female,21.0,0,0,10.5,1,1,1,False,False,True,False,True,False,False,False,0.2586076903744659,0.04216762135500063
0,3,male,28.5,0,0,7.2292,1,1,0,True,False,False,False,False,True,False,False,0.35285247549635584,0.029032206504721002
1,2,female,5.0,1,2,27.75,4,0,1,False,False,True,False,True,False,False,False,0.05755214878110078,0.11144299929535881
0,3,male,11.0,5,2,46.9,8,0,0,False,False,True,True,False,False,False,False,0.13294797687861273,0.1883487087190028
0,3,male,22.0,0,0,7.2292,1,1,0,True,False,False,False,False,True,False,False,0.2711736617240513,0.029032206504721002
1,1,female,38.0,0,0,80.0,1,1,1,False,False,True,False,True,False,False,False,0.4722292033174164,0.3212771150857191
0,1,male,45.0,1,0,83.475,2,0,0,False,False,True,False,False,True,False,False,0.5601910027645137,0.335232589772255
0,3,male,4.0,3,2,27.9,6,0,0,False,False,True,True,False,False,False,False,0.04498617743151546,0.11204539388614453
0,1,male,40.0,0,0,27.7208,1,1,0,True,False,False,False,False,True,False,False,0.4973611460165871,0.11132573314835252
1,3,male,25.0,1,1,15.2458,3,0,0,True,False,False,True,False,False,False,False,0.3088715757728072,0.061226583014673194
1,2,female,29.0,0,0,10.5,1,1,1,False,False,True,False,False,False,True,False,0.35913546117114853,0.04216762135500063
0,3,male,19.0,0,0,8.1583,1,1,0,False,False,True,False,False,True,False,False,0.23347574767529528,0.032763438600047774
1,3,female,17.0,4,2,7.925,7,0,1,False,False,True,False,True,False,False,False,0.20834380497612465,0.031826514213179044
0,3,male,26.0,2,0,8.6625,3,0,0,False,False,True,False,False,True,False,False,0.32143754712239253,0.034788287617875516
0,2,male,32.0,0,0,10.5,1,1,0,False,False,True,False,False,True,False,False,0.39683337521990447,0.04216762135500063
0,3,female,16.0,5,2,46.9,8,0,1,False,False,True,False,True,False,False,False,0.19577783362653933,0.1883487087190028
0,2,male,21.0,0,0,73.5,1,1,0,False,False,True,False,False,True,False,False,0.2586076903744659,0.2951733494850044
0,3,male,26.0,1,0,14.4542,2,0,0,True,False,False,False,False,True,False,False,0.32143754712239253,0.05804754596090001
1,3,male,32.0,0,0,56.4958,1,1,0,False,False,True,False,False,True,False,False,0.39683337521990447,0.22688509548074712
0,3,male,25.0,0,0,7.65,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.03072212413007189
0,3,male,25.0,0,0,7.8958,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.031709248066172764
0,3,male,25.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.03232850970550048
1,2,male,0.83,0,2,29.0,3,0,0,False,False,True,True,False,False,False,False,0.005152048253329982,0.11646295421857317
1,3,female,30.0,0,0,12.475,1,1,1,False,False,True,False,True,False,False,False,0.37170143252073384,0.05009915013367932
0,3,male,22.0,0,0,9.0,1,1,0,False,False,True,False,False,True,False,False,0.2711736617240513,0.0361436754471434
1,3,male,29.0,0,0,9.5,1,1,0,False,False,True,False,False,True,False,False,0.35913546117114853,0.03815165741642914
1,3,female,21.5,0,0,7.7875,1,1,1,False,True,False,False,True,False,False,False,0.2648906760492586,0.031274319171625466
0,1,male,28.0,0,0,47.1,1,1,0,False,False,True,False,False,True,False,False,0.3465694898215632,0.18915190150671712
1,2,female,17.0,0,0,10.5,1,1,1,False,False,True,False,True,False,False,False,0.20834380497612465,0.04216762135500063
1,3,female,33.0,3,0,15.85,4,0,1,False,False,True,False,False,False,True,False,0.4093993465694898,0.06365302842635809
0,3,male,16.0,1,3,34.375,5,0,0,False,False,True,False,False,True,False,False,0.19577783362653933,0.13804876038839492
0,3,male,25.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.03232850970550048
1,1,female,23.0,3,2,249.00622000000035,6,0,1,False,False,True,False,True,False,False,False,0.2837396330736366,1.0
0,3,male,24.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.2963056044232219,0.03232850970550048
0,3,male,29.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.35913546117114853,0.03232850970550048
0,3,male,20.0,0,0,7.8542,1,1,0,False,False,True,False,False,True,False,False,0.24604171902488062,0.031542183966328186
0,1,male,46.0,1,0,61.175,2,0,0,False,False,True,False,False,True,False,False,0.572756974114099,0.2456765939421108
0,3,male,26.0,1,2,20.575,4,0,0,False,False,True,False,False,True,False,False,0.32143754712239253,0.08262845803610838
0,3,male,59.0,0,0,7.25,1,1,0,False,False,True,False,False,True,False,False,0.7361146016587082,0.029115738554643292
0,3,male,25.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.03232850970550048
0,1,male,71.0,0,0,34.6542,1,1,0,True,False,False,False,False,True,False,False,0.8869062578537321,0.1391700175200441
1,1,male,23.0,0,1,63.3583,2,0,0,True,False,False,False,False,True,False,False,0.2837396330736366,0.2544446480091939
1,2,female,34.0,0,1,23.0,2,0,1,False,False,True,False,False,False,True,False,0.42196531791907516,0.09236717058714423
0,2,male,34.0,1,0,26.0,2,0,0,False,False,True,False,False,True,False,False,0.42196531791907516,0.10441506240285871
0,3,female,28.0,0,0,7.8958,1,1,1,False,False,True,False,True,False,False,False,0.3465694898215632,0.031709248066172764
0,3,male,25.0,0,0,7.8958,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.031709248066172764
0,1,male,21.0,0,1,77.2875,2,0,0,False,False,True,False,False,True,False,False,0.2586076903744659,0.3103838129023439
0,3,male,33.0,0,0,8.6542,1,1,0,False,False,True,False,False,True,False,False,0.4093993465694898,0.03475495511718538
0,3,male,37.0,2,0,7.925,3,0,0,False,False,True,False,False,True,False,False,0.4596632319678311,0.031826514213179044
0,3,male,28.0,0,0,7.8958,1,1,0,False,False,True,False,False,True,False,False,0.3465694898215632,0.031709248066172764
1,3,female,21.0,0,0,7.65,1,1,1,False,False,True,False,True,False,False,False,0.2586076903744659,0.03072212413007189
1,3,male,25.0,0,0,7.775,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.031224119622393326
0,3,male,38.0,0,0,7.8958,1,1,0,False,False,True,False,False,True,False,False,0.4722292033174164,0.031709248066172764
1,3,female,21.5,1,0,24.15,2,0,1,False,True,False,False,True,False,False,False,0.2648906760492586,0.09698552911650145
0,1,male,47.0,0,0,52.0,1,1,0,False,False,True,False,False,True,False,False,0.5853229454636844,0.20883012480571742
0,3,female,14.5,1,0,14.4542,2,0,1,True,False,False,False,True,False,False,False,0.17692887660216136,0.05804754596090001
0,3,male,22.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.2711736617240513,0.03232850970550048
0,3,female,20.0,1,0,9.825,2,0,1,False,False,True,False,True,False,False,False,0.24604171902488062,0.03945684569646487
0,3,female,17.0,0,0,14.4583,1,1,1,True,False,False,False,True,False,False,False,0.20834380497612465,0.05806401141304815
0,3,male,21.0,0,0,7.925,1,1,0,False,False,True,False,False,True,False,False,0.2586076903744659,0.031826514213179044
0,3,male,70.5,0,0,7.75,1,1,0,False,True,False,False,False,True,False,False,0.8806232721789394,0.031123720523929036
0,2,male,29.0,1,0,21.0,2,0,0,False,False,True,False,False,True,False,False,0.35913546117114853,0.08433524271000126
0,1,male,24.0,0,1,247.5208,2,0,0,True,False,False,False,False,True,False,False,0.2963056044232219,0.9940346068463658
0,3,female,2.0,4,2,31.275,7,0,1,False,False,True,False,True,False,False,False,0.01985423473234481,0.1255992721788233
0,2,male,21.0,2,0,73.5,3,0,0,False,False,True,False,False,True,False,False,0.2586076903744659,0.2951733494850044
0,3,male,25.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.03232850970550048
0,2,male,32.5,1,0,30.0708,2,0,0,True,False,False,False,False,True,False,False,0.40311636089469716,0.12076324840399551
1,2,female,32.5,0,0,13.0,1,1,1,False,False,True,False,True,False,False,False,0.40311636089469716,0.052207531201429354
0,1,male,54.0,0,1,77.2875,2,0,0,False,False,True,False,False,True,False,False,0.6732847449107816,0.3103838129023439
1,3,male,12.0,1,0,11.2417,2,0,0,True,False,False,True,False,False,False,False,0.14551394822819805,0.0451462618082391
0,3,male,25.0,0,0,7.75,1,1,0,False,True,False,False,False,True,False,False,0.3088715757728072,0.031123720523929036
1,3,male,24.0,0,0,7.1417,1,1,0,False,False,True,False,False,True,False,False,0.2963056044232219,0.028680809660096
1,3,female,21.5,1,1,22.3583,3,0,1,True,False,False,False,True,False,False,False,0.2648906760492586,0.08979012652776291
0,3,male,45.0,0,0,6.975,1,1,0,False,False,True,False,False,True,False,False,0.5601910027645137,0.02801134847153613
0,3,male,33.0,0,0,7.8958,1,1,0,True,False,False,False,False,True,False,False,0.4093993465694898,0.031709248066172764
0,3,male,20.0,0,0,7.05,1,1,0,False,False,True,False,False,True,False,False,0.24604171902488062,0.028312545766928994
0,3,female,47.0,1,0,14.5,2,0,1,False,False,True,False,False,False,True,False,0.5853229454636844,0.058231477109286583
1,2,female,29.0,1,0,26.0,2,0,1,False,False,True,False,False,False,True,False,0.35913546117114853,0.10441506240285871
0,2,male,25.0,0,0,13.0,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.052207531201429354
0,2,male,23.0,0,0,15.0458,1,1,0,True,False,False,False,False,True,False,False,0.2837396330736366,0.060423390226958903
1,1,female,19.0,0,2,26.2833,3,0,1,False,False,True,False,True,False,False,False,0.23347574767529528,0.105552784986656
0,1,male,37.0,1,0,53.1,2,0,0,False,False,True,False,False,True,False,False,0.4596632319678311,0.21324768513814604
0,3,male,16.0,0,0,9.2167,1,1,0,False,False,True,False,False,True,False,False,0.19577783362653933,0.03701393483263184
0,1,male,24.0,0,0,79.2,1,1,0,True,False,False,False,False,True,False,False,0.2963056044232219,0.3180643439348619
0,3,female,21.5,0,2,15.2458,3,0,1,True,False,False,False,False,False,True,False,0.2648906760492586,0.061226583014673194
1,3,female,22.0,0,0,7.75,1,1,1,False,False,True,False,True,False,False,False,0.2711736617240513,0.031123720523929036
1,3,female,24.0,1,0,15.85,2,0,1,False,False,True,False,False,False,True,False,0.2963056044232219,0.06365302842635809
0,3,male,19.0,0,0,6.75,1,1,0,False,True,False,False,False,True,False,False,0.23347574767529528,0.027107756585357547
0,2,male,18.0,0,0,11.5,1,1,0,False,False,True,False,False,True,False,False,0.22090977632570996,0.04618358529357212
0,2,male,19.0,1,1,36.75,3,0,0,False,False,True,False,False,True,False,False,0.23347574767529528,0.1475866747425022
1,3,male,27.0,0,0,7.7958,1,1,0,False,False,True,False,False,True,False,False,0.33400351847197784,0.03130765167231561
0,3,female,9.0,2,2,34.375,5,0,1,False,False,True,False,True,False,False,False,0.10781603417944208,0.13804876038839492
0,2,male,36.5,0,2,26.0,3,0,0,False,False,True,False,False,True,False,False,0.4533802462930384,0.10441506240285871
0,2,male,42.0,0,0,13.0,1,1,0,False,False,True,False,False,False,False,True,0.5224930887157577,0.052207531201429354
0,2,male,51.0,0,0,12.525,1,1,0,False,False,True,False,False,False,False,True,0.6355868308620256,0.0502999483306079
1,1,female,22.0,1,0,66.6,2,0,1,False,False,True,False,False,False,True,False,0.2711736617240513,0.2674631983088611
0,3,male,55.5,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.6921337019351596,0.03232850970550048
0,3,male,40.5,0,2,14.5,3,0,0,False,False,True,False,False,True,False,False,0.5036441316913798,0.058231477109286583
0,3,male,25.0,0,0,7.3125,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.02936673630080401
0,1,male,51.0,0,1,61.3792,2,0,0,True,False,False,False,False,True,False,False,0.6355868308620256,0.2464966537783671
1,3,female,16.0,0,0,7.7333,1,1,1,False,True,False,False,True,False,False,False,0.19577783362653933,0.031056653926154892
0,3,male,30.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.37170143252073384,0.03232850970550048
0,3,male,25.0,0,0,8.6625,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.034788287617875516
0,3,male,25.0,8,2,69.55,11,0,0,False,False,True,True,False,False,False,False,0.3088715757728072,0.279310291927647
0,3,male,44.0,0,1,16.1,2,0,0,False,False,True,False,False,True,False,False,0.5476250314149284,0.06465701941100097
1,2,female,40.0,0,0,15.75,1,1,1,False,False,True,False,False,False,True,False,0.4973611460165871,0.06325143203250094
0,3,male,26.0,0,0,7.775,1,1,0,False,False,True,False,False,True,False,False,0.32143754712239253,0.031224119622393326
0,3,male,17.0,0,0,8.6625,1,1,0,False,False,True,False,False,True,False,False,0.20834380497612465,0.034788287617875516
0,3,male,1.0,4,1,39.6875,6,0,0,False,False,True,True,False,False,False,False,0.007288263382759489,0.15938356881205595
1,3,male,9.0,0,2,20.525,3,0,0,False,False,True,True,False,False,False,False,0.10781603417944208,0.0824276598391798
1,1,female,35.0,0,1,55.0,2,0,1,False,False,True,False,False,False,True,False,0.43453128926866047,0.22087801662143186
0,3,female,45.0,1,4,27.9,6,0,1,False,False,True,False,False,False,True,False,0.5601910027645137,0.11204539388614453
0,1,male,40.0,0,0,25.925,1,1,0,False,False,True,False,False,True,False,False,0.4973611460165871,0.10411386510746584
0,3,male,28.0,0,0,56.4958,1,1,0,False,False,True,False,False,True,False,False,0.3465694898215632,0.22688509548074712
0,1,male,61.0,0,0,33.5,1,1,0,False,False,True,False,False,True,False,False,0.7612465443578789,0.13453479194214488
0,3,male,4.0,4,1,29.125,6,0,0,False,True,False,True,False,False,False,False,0.04498617743151546,0.1169649497108946
1,3,female,1.0,1,1,11.1333,3,0,1,False,False,True,False,True,False,False,False,0.007288263382759489,0.044710931317297954
0,3,male,21.0,0,0,7.925,1,1,0,False,False,True,False,False,True,False,False,0.2586076903744659,0.031826514213179044
0,1,male,56.0,0,0,30.6958,1,1,0,True,False,False,False,False,True,False,False,0.6984166876099522,0.12327322586560269
0,3,male,18.0,1,1,7.8542,3,0,0,False,False,True,False,False,True,False,False,0.22090977632570996,0.031542183966328186
0,3,male,25.0,3,1,25.4667,5,0,0,False,False,True,True,False,False,False,False,0.3088715757728072,0.10227334883441852
0,1,female,50.0,0,0,28.7125,1,1,1,True,False,False,False,True,False,False,False,0.6230208595124404,0.11530836458623386
0,2,male,30.0,0,0,13.0,1,1,0,False,False,True,False,False,True,False,False,0.37170143252073384,0.052207531201429354
0,3,male,36.0,0,0,0.0,1,1,0,False,False,True,False,False,True,False,False,0.4470972606182458,0.0
0,3,female,21.5,8,2,69.55,11,0,1,False,False,True,False,True,False,False,False,0.2648906760492586,0.279310291927647
0,2,male,30.0,0,0,15.05,1,1,0,True,False,False,False,False,True,False,False,0.37170143252073384,0.060440257275500904
0,3,male,9.0,4,2,31.3875,7,0,0,False,False,True,True,False,False,False,False,0.10781603417944208,0.1260510681219126
1,2,male,1.0,2,1,39.0,4,0,0,False,False,True,True,False,False,False,False,0.007288263382759489,0.15662259360428807
1,3,female,4.0,0,2,22.025,3,0,1,False,False,True,False,True,False,False,False,0.04498617743151546,0.08845160574703703
0,1,male,40.0,0,0,50.0,1,1,0,False,False,True,False,False,True,False,False,0.4973611460165871,0.20079819692857442
1,3,female,21.5,1,0,15.5,2,0,1,False,True,False,False,False,False,True,False,0.2648906760492586,0.06224744104785807
1,1,male,45.0,0,0,26.55,1,1,0,False,False,True,False,False,True,False,False,0.5601910027645137,0.10662384256907302
0,3,male,40.0,1,1,15.5,3,0,0,False,True,False,False,False,True,False,False,0.4973611460165871,0.06224744104785807
0,3,male,36.0,0,0,7.8958,1,1,0,False,False,True,False,False,True,False,False,0.4470972606182458,0.031709248066172764
1,2,female,32.0,0,0,13.0,1,1,1,False,False,True,False,False,False,True,False,0.39683337521990447,0.052207531201429354
0,2,male,19.0,0,0,13.0,1,1,0,False,False,True,False,False,True,False,False,0.23347574767529528,0.052207531201429354
1,3,female,19.0,1,0,7.8542,2,0,1,False,False,True,False,True,False,False,False,0.23347574767529528,0.031542183966328186
1,2,male,3.0,1,1,26.0,3,0,0,False,False,True,True,False,False,False,False,0.032420206081930136,0.10441506240285871
1,1,female,44.0,0,0,27.7208,1,1,1,True,False,False,False,False,False,True,False,0.5476250314149284,0.11132573314835252
1,1,female,58.0,0,0,146.5208,1,1,1,True,False,False,False,True,False,False,False,0.7235486303091229,0.5884222490506454
0,3,male,25.0,0,0,7.75,1,1,0,False,True,False,False,False,True,False,False,0.3088715757728072,0.031123720523929036
0,3,male,42.0,0,1,8.4042,2,0,0,False,False,True,False,False,True,False,False,0.5224930887157577,0.0337509641325425
1,3,female,21.5,0,0,7.75,1,1,1,False,True,False,False,True,False,False,False,0.2648906760492586,0.031123720523929036
0,2,female,24.0,0,0,13.0,1,1,1,False,False,True,False,True,False,False,False,0.2963056044232219,0.052207531201429354
0,3,male,28.0,0,0,9.5,1,1,0,False,False,True,False,False,True,False,False,0.3465694898215632,0.03815165741642914
0,3,male,25.0,8,2,69.55,11,0,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.279310291927647
0,3,male,34.0,0,0,6.4958,1,1,0,False,False,True,False,False,True,False,False,0.42196531791907516,0.026086898552172676
0,3,male,45.5,0,0,7.225,1,1,0,True,False,False,False,False,True,False,False,0.5664739884393063,0.029015339456179005
1,3,male,18.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.22090977632570996,0.03232850970550048
0,3,female,2.0,0,1,10.4625,2,0,1,False,False,True,False,True,False,False,False,0.01985423473234481,0.0420170227073042
0,3,male,32.0,1,0,15.85,2,0,0,False,False,True,False,False,True,False,False,0.39683337521990447,0.06365302842635809
1,3,male,26.0,0,0,18.7875,1,1,0,True,False,False,False,False,True,False,False,0.32143754712239253,0.07544992249591184
1,3,female,16.0,0,0,7.75,1,1,1,False,True,False,False,True,False,False,False,0.19577783362653933,0.031123720523929036
1,1,male,40.0,0,0,31.0,1,1,0,True,False,False,False,False,True,False,False,0.4973611460165871,0.12449488209571614
0,3,male,24.0,0,0,7.05,1,1,0,False,False,True,False,False,True,False,False,0.2963056044232219,0.028312545766928994
1,2,female,35.0,0,0,21.0,1,1,1,False,False,True,False,True,False,False,False,0.43453128926866047,0.08433524271000126
0,3,male,22.0,0,0,7.25,1,1,0,False,False,True,False,False,True,False,False,0.2711736617240513,0.029115738554643292
0,2,male,30.0,0,0,13.0,1,1,0,False,False,True,False,False,True,False,False,0.37170143252073384,0.052207531201429354
0,3,male,25.0,1,0,7.75,2,0,0,False,True,False,False,False,True,False,False,0.3088715757728072,0.031123720523929036
1,1,female,31.0,1,0,113.275,2,0,1,True,False,False,False,True,False,False,False,0.38426740387031916,0.4549083151416854
1,3,female,27.0,0,0,7.925,1,1,1,False,False,True,False,True,False,False,False,0.33400351847197784,0.031826514213179044
0,2,male,42.0,1,0,27.0,2,0,0,False,False,True,False,False,True,False,False,0.5224930887157577,0.10843102634143019
1,1,female,32.0,0,0,76.2917,1,1,1,True,False,False,False,True,False,False,False,0.39683337521990447,0.3063847160123145
0,2,male,30.0,0,0,10.5,1,1,0,False,False,True,False,False,True,False,False,0.37170143252073384,0.04216762135500063
1,3,male,16.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.19577783362653933,0.03232850970550048
0,2,male,27.0,0,0,13.0,1,1,0,False,False,True,False,False,True,False,False,0.33400351847197784,0.052207531201429354
0,3,male,51.0,0,0,8.05,1,1,0,False,False,True,False,False,True,False,False,0.6355868308620256,0.03232850970550048
0,3,male,25.0,0,0,7.8958,1,1,0,False,False,True,False,False,True,False,False,0.3088715757728072,0.031709248066172764
1,1,male,38.0,1,0,90.0,2,0,0,False,False,True,False,False,True,False,False,0.4722292033174164,0.361436754471434
0,3,male,22.0,0,0,9.35,1,1,0,False,False,True,False,False,True,False,False,0.2711736617240513,0.037549262825643415
1,2,male,19.0,0,0,10.5,1,1,0,False,False,True,False,False,True,False,False,0.23347574767529528,0.04216762135500063
0,3,male,20.5,0,0,7.25,1,1,0,False,False,True,False,False,True,False,False,0.2523247046996733,0.029115738554643292
0,2,male,18.0,0,0,13.0,1,1,0,False,False,True,False,False,True,False,False,0.22090977632570996,0.052207531201429354
0,3,female,21.5,3,1,25.4667,5,0,1,False,False,True,False,True,False,False,False,0.2648906760492586,0.10227334883441852
1,1,female,35.0,1,0,83.475,2,0,1,False,False,True,False,False,False,True,False,0.43453128926866047,0.335232589772255
0,3,male,29.0,0,0,7.775,1,1,0,False,False,True,False,False,True,False,False,0.35913546117114853,0.031224119622393326
0,2,male,59.0,0,0,13.5,1,1,0,False,False,True,False,False,True,False,False,0.7361146016587082,0.054215513170715095
1,3,female,5.0,4,2,31.3875,7,0,1,False,False,True,False,True,False,False,False,0.05755214878110078,0.1260510681219126
0,2,male,24.0,0,0,10.5,1,1,0,False,False,True,False,False,True,False,False,0.2963056044232219,0.04216762135500063
0,3,female,21.5,0,0,7.55,1,1,1,False,False,True,False,True,False,False,False,0.2648906760492586,0.03032052773621474
